record_id,city_id,city_name,year_month,avg_aqi,avg_rent_1bhk,avg_rent_2bhk,job_postings_index,avg_salary_offered,cost_of_living_index,hospital_utilization_rate,disease_outbreak_flag,rainfall_mm,temperature_avg
35,2,Bengaluru,2023-11,61.7,26509,42700,103.4,587872,87.5,79.5,0,58.4,21.7
36,2,Bengaluru,2023-12,62.1,25995,41672,91.7,632622,87.8,90.8,0,17.1,19.6
37,2,Bengaluru,2024-01,57.8,26878,44788,111.3,659836,87.2,75.9,0,12.9,18.2
38,2,Bengaluru,2024-02,47.1,27238,41877,109.5,590399,87.1,88.3,0,0.4,20.9
39,2,Bengaluru,2024-03,47.8,27723,44287,98.6,604275,89.0,62.3,0,13.9,26.3
40,2,Bengaluru,2024-04,80.2,27571,43020,111.1,626091,89.7,62.3,0,8.3,23.7
41,2,Bengaluru,2024-05,47.2,27746,43051,102.0,593679,89.8,65.8,0,18.1,25.1
42,2,Bengaluru,2024-06,55.3,27264,44247,100.5,620950,88.4,78.5,0,213.0,29.5
43,2,Bengaluru,2024-07,72.8,27158,42337,104.3,668007,89.0,72.0,1,190.5,20.9
44,2,Bengaluru,2024-08,48.7,26366,42531,97.0,664225,89.8,79.1,1,186.6,26.2
45,2,Bengaluru,2024-09,46.6,27017,45204,117.1,660202,90.8,53.7,1,218.1,23.7
46,2,Bengaluru,2024-10,72.3,28255,42830,96.9,638400,89.4,46.3,1,63.5,24.2
47,2,Bengaluru,2024-11,47.8,27613,45948,103.4,672827,89.2,76.5,0,69.0,27.5
48,2,Bengaluru,2024-12,43.9,28355,44513,99.4,648460,91.7,91.4,0,19.4,15.3
49,3,Chennai,2023-01,62.5,17173,28189,61.8,473532,73.2,91.0,0,17.4,28.5
50,3,Chennai,2023-02,56.5,16617,27988,69.2,462003,71.8,91.5,0,15.5,26.8
51,3,Chennai,2023-03,64.9,17514,28556,73.8,509863,71.4,66.8,0,13.4,27.1
52,3,Chennai,2023-04,61.9,17629,27184,66.6,510378,71.2,67.7,0,10.5,33.3
53,3,Chennai,2023-05,61.3,17640,29045,67.2,477791,72.6,46.3,0,9.5,33.7
54,3,Chennai,2023-06,68.9,17289,28960,73.2,477327,74.2,74.0,0,120.0,34.0
55,3,Chennai,2023-07,73.8,17492,28689,63.2,505375,72.7,75.4,0,88.5,26.3
56,3,Chennai,2023-08,58.7,17382,29348,63.6,465807,73.0,80.1,0,108.2,29.5
57,3,Chennai,2023-09,65.1,16667,28219,67.2,492964,73.7,65.8,0,57.0,25.4
58,3,Chennai,2023-10,58.5,17552,29460,63.9,525380,74.9,56.3,0,368.1,28.0
59,3,Chennai,2023-11,56.6,17186,29006,63.0,475643,73.0,74.6,0,415.2,28.9
60,3,Chennai,2023-12,45.4,17252,29683,71.2,479588,73.9,75.8,0,333.8,25.8
61,3,Chennai,2024-01,46.5,16934,27965,65.0,493092,74.0,82.1,0,7.0,25.8
62,3,Chennai,2024-02,42.0,16965,29774,63.0,488659,75.6,88.1,0,20.0,30.3
63,3,Chennai,2024-03,47.0,17573,29254,68.7,520235,74.1,45.8,0,5.2,27.7
64,3,Chennai,2024-04,65.4,17683,28137,69.7,488798,74.5,51.2,0,22.4,29.1
65,3,Chennai,2024-05,41.3,17436,28234,70.7,518311,76.0,63.2,0,8.1,26.1
66,3,Chennai,2024-06,43.6,18070,29030,66.4,498999,73.9,77.9,0,83.0,29.9
67,3,Chennai,2024-07,53.0,17392,28328,66.0,486998,74.2,68.7,0,118.9,30.1
68,3,Chennai,2024-08,46.6,17842,29120,64.2,503665,76.9,84.4,0,111.7,24.8
69,3,Chennai,2024-09,69.0,18091,30410,70.7,497144,75.8,62.7,0,60.6,25.7
70,3,Chennai,2024-10,51.9,17524,28562,66.8,518113,76.1,48.6,0,282.1,29.1
71,3,Chennai,2024-11,59.1,17410,28508,67.4,534396,77.4,77.1,0,192.4,27.4
72,3,Chennai,2024-12,67.1,17851,29252,74.6,545900,77.4,74.5,0,323.0,28.7
73,4,Pune,2023-01,98.5,19367,31185,66.8,547760,76.0,76.0,0,3.6,15.5
74,4,Pune,2023-02,62.3,19083,30727,70.7,550575,76.3,80.8,0,16.3,26.7
75,4,Pune,2023-03,76.3,19099,30488,70.8,533398,76.6,65.8,0,6.0,27.5
76,4,Pune,2023-04,60.1,18890,30331,74.4,534037,76.5,65.6,0,18.8,26.3
77,4,Pune,2023-05,61.7,19565,30142,76.8,558802,76.0,52.9,0,6.2,22.5
78,4,Pune,2023-06,59.8,19079,32134,69.2,549610,74.9,79.4,0,198.5,21.3
79,4,Pune,2023-07,87.1,19047,30664,74.6,528914,77.4,74.2,0,156.0,22.5
80,4,Pune,2023-08,61.8,19505,30326,80.0,541517,77.4,78.9,0,162.1,25.1
81,4,Pune,2023-09,87.7,19545,31428,80.3,567700,77.2,55.4,1,101.4,25.8
82,4,Pune,2023-10,100.7,20082,32635,75.5,532694,76.7,46.3,0,80.3,21.2
83,4,Pune,2023-11,92.2,19316,31870,72.1,530390,78.2,86.8,0,30.3,23.3
84,4,Pune,2023-12,65.1,19017,31848,80.8,532757,76.8,83.6,0,9.0,16.0
85,4,Pune,2024-01,55.2,20292,31033,68.6,578230,77.0,82.0,0,13.3,16.2
86,4,Pune,2024-02,57.7,20242,31252,68.1,543004,76.5,83.3,0,15.0,22.1
87,4,Pune,2024-03,90.9,19572,31830,70.1,524019,77.8,64.8,0,9.1,25.2
88,4,Pune,2024-04,72.1,19569,30941,78.8,558739,76.7,45.6,0,5.4,26.4
89,4,Pune,2024-05,65.4,19134,33014,78.1,530505,77.0,47.3,0,13.4,20.2
90,4,Pune,2024-06,88.4,19645,32752,72.9,578162,77.3,65.3,0,199.8,28.3
91,4,Pune,2024-07,64.3,19987,32191,81.1,540377,79.6,70.2,0,83.7,21.8
92,4,Pune,2024-08,82.2,19758,32608,73.4,584626,78.4,80.3,0,117.5,26.2
93,4,Pune,2024-09,95.2,20429,32355,73.2,557145,77.2,59.6,0,148.2,28.9
94,4,Pune,2024-10,61.1,20039,31771,69.6,584986,78.2,47.7,0,80.1,29.8
95,4,Pune,2024-11,67.4,20574,31937,71.7,585358,77.6,89.5,0,63.3,26.5
96,4,Pune,2024-12,82.7,20759,32569,77.8,525762,78.9,75.3,0,13.3,16.2
97,5,Delhi,2023-01,146.6,23787,39324,81.4,573403,91.5,83.3,0,9.0,10.0
98,5,Delhi,2023-02,193.1,23511,38596,79.6,556265,91.4,81.9,0,14.1,28.8
99,5,Delhi,2023-03,166.7,23300,40934,81.1,586705,92.4,50.7,0,11.6,21.3
100,5,Delhi,2023-04,204.0,24355,39852,84.8,565526,91.2,66.9,0,10.4,23.3
101,5,Delhi,2023-05,154.8,24690,41391,81.4,621180,93.5,50.7,0,8.1,41.0
102,5,Delhi,2023-06,157.7,23405,41166,73.5,601246,94.7,66.1,0,89.1,41.6
103,5,Delhi,2023-07,107.9,25278,42043,84.3,623899,93.3,52.3,0,144.6,31.1
104,5,Delhi,2023-08,81.5,23679,39323,76.2,616246,94.3,46.5,0,189.4,22.8
105,5,Delhi,2023-09,183.2,24727,42060,74.6,563897,94.3,65.0,1,75.4,23.8
106,5,Delhi,2023-10,387.5,25127,42529,83.1,594385,93.5,56.0,0,7.9,31.3
107,5,Delhi,2023-11,387.4,24438,40742,74.8,573313,95.2,79.1,0,14.8,29.2
108,5,Delhi,2023-12,329.6,23709,42704,77.2,618807,94.3,76.4,0,3.5,8.3
109,5,Delhi,2024-01,202.9,25470,42666,81.0,580502,94.6,91.8,0,1.3,11.3
110,5,Delhi,2024-02,215.4,24805,40410,74.8,583422,93.8,87.6,0,9.7,27.3
111,5,Delhi,2024-03,144.6,25690,43039,77.7,629457,94.0,61.0,0,14.5,30.6
112,5,Delhi,2024-04,205.3,24974,41809,73.0,640304,95.8,51.1,0,3.4,22.7
113,5,Delhi,2024-05,211.1,25578,42117,73.0,605069,95.9,53.6,0,14.3,40.9
114,5,Delhi,2024-06,197.9,24460,42311,85.2,613338,94.3,56.1,0,54.7,34.6
115,5,Delhi,2024-07,113.0,25212,41021,84.5,627676,97.6,64.6,0,152.2,28.1
116,5,Delhi,2024-08,108.3,25502,42298,74.4,646745,97.3,65.1,1,225.6,28.4
117,5,Delhi,2024-09,206.1,25691,40860,85.3,618726,97.8,45.1,0,29.0,24.0
118,5,Delhi,2024-10,361.7,24775,42551,84.5,588417,97.0,62.5,0,14.7,27.6
119,5,Delhi,2024-11,396.3,26195,40858,83.2,586701,98.8,78.0,0,5.1,27.6
120,5,Delhi,2024-12,306.7,25626,40763,87.8,659936,98.7,87.0,0,8.7,10.8
121,6,Hyderabad,2023-01,78.5,17746,28974,91.2,564462,68.7,77.5,0,0.5,14.2
122,6,Hyderabad,2023-02,65.0,18471,29523,81.2,582994,67.4,85.1,0,9.0,23.6
123,6,Hyderabad,2023-03,86.4,18732,28958,87.4,554723,68.7,67.6,0,3.0,26.3
124,6,Hyderabad,2023-04,84.1,17455,29572,96.4,570698,68.1,67.3,0,4.6,33.7
125,6,Hyderabad,2023-05,83.0,18681,29902,83.8,539712,69.0,66.2,0,15.5,38.2
126,6,Hyderabad,2023-06,80.1,17679,29798,85.6,574885,68.7,66.3,0,147.4,23.2
127,6,Hyderabad,2023-07,58.6,18205,28285,89.7,575444,67.8,77.0,0,191.7,25.1
128,6,Hyderabad,2023-08,76.0,17640,29461,87.6,614396,68.1,67.8,0,200.4,29.8
129,6,Hyderabad,2023-09,72.8,17640,29169,85.3,568676,69.4,45.8,1,178.3,27.6
130,6,Hyderabad,2023-10,63.8,18684,30366,87.4,551754,68.7,59.6,0,38.0,27.7
131,6,Hyderabad,2023-11,48.9,18511,30222,98.3,605125,70.7,78.8,0,86.2,22.5
132,6,Hyderabad,2023-12,50.9,18964,29684,95.4,601354,70.3,73.6,0,17.9,18.4
133,6,Hyderabad,2024-01,57.7,18124,31007,89.5,607175,69.6,85.2,0,3.2,21.0
134,6,Hyderabad,2024-02,70.3,19323,31080,90.5,600420,70.6,73.4,0,14.4,24.3
135,6,Hyderabad,2024-03,58.1,18969,30598,93.9,578577,70.2,67.7,0,9.3,30.7
136,6,Hyderabad,2024-04,83.0,19012,30055,105.4,583803,71.6,51.4,0,11.6,35.5
137,6,Hyderabad,2024-05,84.8,18917,30722,102.5,622105,69.7,49.1,0,4.2,37.0
138,6,Hyderabad,2024-06,87.2,18753,29621,97.9,593682,71.9,72.2,0,105.3,30.5
139,6,Hyderabad,2024-07,54.3,18446,30685,105.1,565896,70.6,84.4,0,134.8,31.7
140,6,Hyderabad,2024-08,57.2,18885,29981,98.9,576236,72.2,77.3,0,90.3,23.7
141,6,Hyderabad,2024-09,54.4,19257,30849,108.0,620185,71.3,58.5,0,103.5,22.4
142,6,Hyderabad,2024-10,56.0,18274,30599,92.3,569286,72.8,55.4,0,36.7,24.7
143,6,Hyderabad,2024-11,60.5,18456,31786,92.3,634363,73.1,84.8,0,60.4,22.4
144,6,Hyderabad,2024-12,66.2,19289,29783,99.2,616841,70.6,76.0,0,10.3,17.9
